sourceCode;sourceName;sourceFrequency;matchScore;mappingStatus;targetConceptId;targetConceptName;targetVocabularyId;targetDomainId;targetStandardConcept;targetChildCount;targetParentCount;targetConceptClassId;targetConceptCode;targetValidStartDate;targetValidEndDate;targetInvalidReason
50;civil servant;8;1.0;APPROVED;4342009;Civil servant;SNOMED;Observation;S;0;1;Social Context;236297007;20020131;20991231;
1;sore_throat;3415;0.36;APPROVED;4036632;Has a sore throat;SNOMED;Observation;S;0;1;Context-dependent;162388002;20020131;20991231;
37;secretary;13;1.0;APPROVED;4202007;Secretary;SNOMED;Observation;S;7;1;Social Context;308204000;20020131;20991231;
1;anorexia;54;1.0;APPROVED;442165;Loss of appetite;SNOMED;Observation;S;2;1;Clinical Finding;79890006;20020131;20991231;
4;saudi arabia;1;1.0;APPROVED;4330417;Saudi Arabia;SNOMED;Geography;S;0;1;Location;223616007;20020131;20991231;
2;Positive;4850;1.0;APPROVED;3968744;COVID-19 positive;LOINC;Meas Value;S;0;0;Answer;LA33551-5;19700101;20991231;
54;human resources;7;0.76;APPROVED;44803345;Human resource management;SNOMED;Observation;S;0;1;Qualifier Value;7,20721E+14;20101001;20991231;
1;vomiting;131;1.0;APPROVED;441408;Vomiting;SNOMED;Condition;S;26;2;Disorder;422400008;20070131;20991231;
1;muscle_pain;166;0.43;APPROVED;442752;Muscle pain;SNOMED;Condition;S;28;2;Clinical Finding;68962001;20020131;20991231;
5;spain;1;1.0;APPROVED;4328760;Spain;SNOMED;Geography;S;0;1;Location;223680008;20020131;20991231;
75;interpreter;2;1.0;APPROVED;4141554;Language interpreter;SNOMED;Observation;S;0;1;Social Context;308005007;20020131;20991231;
3;Doubtful;345;0.87;APPROVED;37079470;Doubtfully true;LOINC;Meas Value;S;0;0;Answer;LA29791-3;19700101;20991231;
59;environment worker;5;0.71;APPROVED;4242705;Environmental agent;SNOMED;Observation;S;0;1;Qualifier Value;37877001;20020131;20991231;
1;italy;11;1.0;APPROVED;4328757;Italy;SNOMED;Geography;S;0;1;Location;223668000;20020131;20991231;
1;fever;6261;1.0;APPROVED;437663;Fever;SNOMED;Condition;S;37;1;Clinical Finding;386661006;20030131;20991231;
6;usa;1;1.0;APPROVED;4330442;United States of America;SNOMED;Geography;S;0;1;Location;223688001;20020131;20991231;
1;Female;6791;1.0;APPROVED;8532;FEMALE;Gender;Gender;S;0;0;Gender;F;19700101;20991231;
38;military police;13;0.71;APPROVED;4031180;Policeman;SNOMED;Observation;S;3;1;Social Context;14406004;20020131;20991231;
51;teacher_professor;8;0.43;APPROVED;4023470;Teacher;SNOMED;Observation;S;9;2;Social Context;106304008;20020131;20991231;
55;supervisor;7;1.0;APPROVED;4341530;Supervisor;SNOMED;Observation;S;11;0;Social Context;236321002;20020131;20991231;
2;morocco;8;1.0;APPROVED;4071834;Morocco;SNOMED;Geography;S;0;1;Location;223513007;20020131;20991231;
7;portugal;1;1.0;APPROVED;4320170;Portugal;SNOMED;Geography;S;0;1;Location;223675004;20020131;20991231;
4;Inconclusive;30;1.0;APPROVED;45877990;Inconclusive;LOINC;Meas Value;S;0;0;Answer;LA9663-1;19700101;20991231;
2;Male;6615;1.0;APPROVED;8507;MALE;Gender;Gender;S;0;0;Gender;M;19700101;20991231;
52;bakery_pastry;7;0.42;APPROVED;4202768;Baker;SNOMED;Observation;S;1;1;Social Context;308241004;20020131;20991231;
1;Negative;8181;1.0;APPROVED;3968681;COVID-19 negative;LOINC;Meas Value;S;0;0;Answer;LA33552-3;19700101;20991231;
76;quality assurance;2;0.63;APPROVED;4171032;Insurance clerk;SNOMED;Observation;S;3;2;Social Context;47555006;20020131;20991231;
1;suspected;9244;1.0;APPROVED;37311060;Suspected COVID-19;SNOMED;Observation;S;0;1;Context-dependent;840544004;20200131;20991231;
60;communication officer;5;0.77;APPROVED;4009086;Information officer;SNOMED;Observation;S;0;1;Social Context;158862003;20020131;20991231;
61;landscaper;4;0.75;APPROVED;4288290;Landscape architect;SNOMED;Observation;S;0;1;Social Context;69731003;20020131;20991231;
62;consultant;4;1.0;APPROVED;4009366;Management consultant;SNOMED;Observation;S;0;1;Social Context;158885002;20020131;20991231;
