sourceCode;sourceName;sourceFrequency;matchScore;mappingStatus;targetConceptId;targetConceptName;targetVocabularyId;targetDomainId;targetStandardConcept;targetChildCount;targetParentCount;targetConceptClassId;targetConceptCode;targetValidStartDate;targetValidEndDate;targetInvalidReason
1;efferalgan;55;0.66;APPROVED;43146071;Acetaminophen Oral Tablet [EFFERALGAN];RxNorm Extension;Drug;S;2;4;Branded Drug Form;OMOP450235;20170824;20991231;
99;boiler-making_piping;1;0.33;APPROVED;4051090;Boiler operator;SNOMED;Observation;S;1;1;Social Context;160218002;20020131;20991231;
18;IT specialist;47;0.86;APPROVED;4341519;Computer engineer;SNOMED;Observation;S;0;1;Social Context;236301003;20020131;20991231;
93;road transport;1;0.77;APPROVED;4050667;Road transport occupation;SNOMED;Observation;S;11;1;Social Context;160183009;20020131;20991231;
2;deceased;52;1.0;APPROVED;45885033;Deceased;LOINC;Meas Value;S;0;0;Answer;LA10939-9;19700101;20991231;
48;telecommunication;8;1.0;APPROVED;4215833;Telecommunications engineer;SNOMED;Observation;S;0;1;Social Context;41705009;20020131;20991231;
1;doliprane;69;0.68;APPROVED;43212028;Acetaminophen Oral Tablet [DOLIPRANE];RxNorm Extension;Drug;S;2;4;Branded Drug Form;OMOP450232;20170824;20991231;
28;journalist;21;1.0;APPROVED;4105610;Journalist;SNOMED;Observation;S;2;1;Social Context;29536009;20020131;20991231;
3;widowed;295;1.0;APPROVED;4143188;Widowed;SNOMED;Observation;S;3;1;Clinical Finding;33553000;20020131;20991231;
35;electricity_electrical services;14;0.37;APPROVED;4119472;Electrical mechanic;SNOMED;Observation;S;0;1;Social Context;302319009;20020131;20991231;
23;executive_manager;33;0.45;APPROVED;37151735;Chief executive officer;SNOMED;Observation;S;1;0;Social Context;1,0113E+15;20230731;20991231;
63;veterinarian;4;1.0;APPROVED;4024154;Veterinarian;SNOMED;Observation;S;3;2;Social Context;106290006;20020131;20991231;
1;Nasal_throat_Nasopharyngeal_swab;13405;0.39;FLAGGED;4023211;Collection of nasal pharyngeal aspirate;SNOMED;Procedure;S;0;1;Physical Object;465168003;20140731;20991231;
94;project manager;1;0.88;APPROVED;4025521;Manager;SNOMED;Observation;S;22;1;Social Context;106333009;20020131;20991231;
1;recent_travel;1002;0.47;APPROVED;40481621;Recent air travel;SNOMED;Observation;S;0;1;Event;445000002;20100731;20991231;
1;vitamine_c;176;0.32;APPROVED;19008339;vitamin A;RxNorm;Drug;S;2895;92;Ingredient;11246;19700101;20991231;
4;divorced;184;1.0;APPROVED;4069297;Divorced;SNOMED;Observation;S;0;1;Clinical Finding;20295000;20020131;20991231;
24;manager;33;1.0;APPROVED;4025521;Manager;SNOMED;Observation;S;22;1;Social Context;106333009;20020131;20991231;
95;archivist;1;1.0;APPROVED;4169583;Archivist;SNOMED;Observation;S;0;1;Social Context;48943007;20020131;20991231;
5;engaged;1;1.0;APPROVED;4204399;Engaged to be married;SNOMED;Observation;S;0;2;Clinical Finding;54986009;20020131;20991231;
91;oil_gas;2;0.19;APPROVED;4203717;Oiler;SNOMED;Observation;S;0;1;Social Context;308304002;20020131;20991231;
